Comandos PUSH C2-260:

#Adicionar ao software:

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"564","20161116999","DATA DELETE PersonalVSTimezone *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"563","20161116999","DATA DELETE DoorVSTimezone *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"562","20161116999","DATA DELETE DiffTimezoneVS *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"561","20161116999","DATA DELETE outrelaysetting *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"560","20161116999","SET OPTIONS ~DSTF=0,DaylightSavingTimeOn=0
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"559","20161116999","DATA DELETE DSTSetting *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:46","0","",
"558","20161116999","DATA UPDATE DoorParameters ID=1	Name=DoorFirstCardOpenDoor	Value=0	DevID=4
ID=2	Name=DoorFirstCardOpenDoor	Value=0	DevID=4
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"557","20161116999","DATA DELETE firstcard *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:46","0","",
"556","20161116999","DATA UPDATE DevParameters ID=4	Name=AntiPassback	Value=0
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"555","20161116999","DATA UPDATE DevParameters ID=4	Name=InterLock	Value=0
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"554","20161116999","SET OPTIONS DateTime=855502782
...","Sim","2026-08-13 15:39:42","2026-08-13 15:39:43","0","",
"553","20161116999","SET OPTIONS MachineTZ=-0300
...","Sim","2026-08-13 15:39:42","2026-08-13 15:39:43","0","",
"552","20161116999","DATA DELETE inoutfun *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"551","20161116999","DATA DELETE user *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"550","20161116999","DATA DELETE extuser *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:46","0","",
"549","20161116999","DATA DELETE SuperAuthorize *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"548","20161116999","DATA DELETE mulcarduser *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"547","20161116999","DATA DELETE userauthorize *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"546","20161116999","DATA DELETE templatev10 *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:47","0","",
"545","20161116999","GET OPTIONS ~SerialNumber,ComPwd,PhotoFunOn,AutoServerFunOn,MaskDetectionFunOn,IRTempDetectionFunOn,EnalbeIRTempDetection,EnableNormalIRTempPass,EnalbeMaskDetection,EnableWearMaskPass,IRTempThreshold,IRTempUnit,EnableUnregisterPass,EnableTriggerAlarm,IRTempCorrection
...","Não","2026-08-13 15:39:41","2026-08-13 15:39:43","0","",
"544","20161116999","GET OPTIONS ~SerialNumber,FaceMinThreshold,GrayThroldValue,IRLivenessFunOn,IsSupportFaceAntiFake,EnableFaceAE,WDRStatus,CameraWorkMode,FVInterval,IsSupportPull,TouchWakeUp,MotionDetectSensitivity
...","Sim","2026-08-13 15:39:41","2026-08-13 15:39:43","0","",


#Adicionar o DM10 Com DIP 1:

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"624","20161116999","SET OPTIONS ExtBoard485CommType=1
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:37","0","",
